,title,content,category
0,"Stablecoin UST, that's meant to maintain a $1 peg, crashes to 40 cents","TerraUSD or 'UST', a stablecoin that's meant to maintain a $1 peg, plunged over 55% on Wednesday from 24 hours earlier to around 40 cents. Its sister token fell more than 80% to $5 and other cryptocurrencies like Bitcoin and Ether also plunged. A stablecoin is a digital currency pegged to a ""stable"" reserve asset like the US dollar.",business
1,Bill Gates tests positive for COVID-19,"Microsoft Co-founder Bill Gates took to Twitter on Tuesday and wrote, ""I've tested positive for COVID-19. I'm experiencing mild symptoms and am following the experts' advice by isolating until I'm healthy again."" ""I'm fortunate to be vaccinated and boosted and have access to testing and great medical care,"" he added.",business
2,SBI hikes interest rates on bulk term deposits from today,"SBI has increased interest rates on its bulk term deposits of ₹2 crore and above across all its tenors except for the 7-45 days tenor. Effective from May 10, for the 46-179 days tenor, the rate has been increased to 3.50% from 3% and for 180-210 days tenor, the rate has been hiked to 3.50% from 3.10%.",business
3,Investors lose over ₹13 lakh crore in a four-day decline in stocks,"A four-day decline in stocks has wiped out over ₹13.32 lakh crore from the market capitalisation of BSE-listed firms. The BSE Sensex plummeted 276 points to close at 54,088 in its fourth-straight session of decline on Wednesday. Larsen & Toubro, Bajaj Finserv, Bajaj Finance, PowerGrid, NTPC, Infosys and Maruti were among the top losers in the Sensex pack on Wednesday.",business
4,"Layout of 'world's first Bitcoin City' in El Salvador unveiled, President shares pics",El Salvador's President Nayib Bukele has shared the layout of the 'world's first Bitcoin City' that will initially be funded by Bitcoin-backed bonds. Bukele shared on Twitter pictures of a gold-coloured 3D model and rendered images of the city. 'Bitcoin City' will be constructed at the foot of a volcano which is being used to mine Bitcoin using geothermal energy.,business
5,Zomato's market cap falls below its last private valuation of $5.4 billion,"Zomato's market capitalisation fell below its last private valuation of $5.4 billion on Tuesday after the food delivery platform's shares hit a new all-time low. Zomato's shares fell 7.22% on Tuesday to end at ₹52.65 on the NSE, giving it a market capitalisation of about $5.3 billion. Notably, Zomato's rival Swiggy was valued at $10.7 billion earlier this year.",business
6,Misleading: Air India on woman's panic attack video after boarding denied at airport,"Air India said, ""It's conveying a misleading image of Air India being apathetic towards a passenger,"" after a video showed that a woman allegedly suffered a panic attack at Delhi airport. In the video shared on Instagram, it was alleged the woman and her relatives were denied boarding by Air India staff due to a delay of a few minutes.",business
7,"JSW Group will make a $7 billion bid for Ambuja Cements, ACC: Chairman",JSW Group's Chairman Sajjan Jindal told Financial Times that the steel-to-energy conglomerate will make a $7 billion bid for Holcim's India subsidiaries Ambuja Cements and ACC. JSW will offer $4.5 billion in its own equity and $2.5 billion from undisclosed private equity partners for the bid. It was earlier reported that Adani Group is in talks to acquire Holcim's assets.,business
8,Pakistani rupee falls to all-time low against US dollar,"The Pakistani rupee fell to an all-time low against US dollar on Tuesday in the interbank market. Its value surged by 82 paisa in early trade and is currently trading at PKR 188.35 in the interbank market. Meanwhile, State Bank of Pakistan's foreign exchange reserves fell by $328 million to $10.558 billion during the week that ended on April 23.",business
9,Pfizer to buy Biohaven for $11.6 bn in its biggest deal since 2016,"Pfizer will acquire biotech group Biohaven Pharmaceuticals for $11.6 billion, marking its biggest deal since 2016. Biohaven's Rimegepant medication, used as both a treatment and preventative for migraines, is expected to bring in sales of over $4 billion by 2030. This comes as Pfizer expects sales of its COVID-19 vaccines to drop from last year's highs.",business
10,Elon Musk's tweets on taking Tesla private were reckless: US judge,"A US judge said in an April judgement that Tesla CEO Elon Musk's 2018 tweets on taking Tesla private were inaccurate and reckless, adding ""there was nothing concrete"" about financing from Saudi Arabia's PIF. ""Rather, discussions between Tesla and the PIF were clearly at the preliminary stage,"" the judge added. Musk has insisted that tweets were entirely truthful.",business
11,Will stay at Tesla as long as I can be useful: Elon Musk,"Tesla CEO Elon Musk on being asked about how long he expects to stay at Tesla, said, ""As long as I can be useful."" Musk, who is in talks to buy Twitter, is expected to become the platform's temporary CEO. Earlier in July 2021, Musk had said he has tried ""very hard not to be the CEO of Tesla"".",business
12,24x7 digital payments helpline 'DigiSaathi' now on WhatsApp: NPCI,"The government's 24x7 helpline 'DigiSaathi' that provides information on digital payment products and services is now available on WhatsApp, the National Payments Commission of India (NPCI) said. Users can access the helpline by texting +91-892-891-3333 via WhatsApp. It answers queries on cards, UPI, NEFT, RTGS, Wallets, ATM, QR (UPI/Bharat), mobile and net banking, among others.",business
13,"Canada, US' electric aircraft firms want to manufacture in India: Scindia","Several electric vertical take-off and landing (eVTOL) companies from the US and Canada are interested in setting up units in India, Civil Aviation Minister Jyotiraditya Scindia said on Tuesday. He added that eVTOL aircrafts are currently being used by the defence forces of the two countries. An e-VTOL aircraft uses electric power to hover, take off and land vertically.",business
14,Tiger Global hit by $17 bn losses in tech stock sell-off: Report,"Tiger Global has faced losses of around $17 billion during this year's technology stock sell-off, the Financial Times reported. The firm has erased around two-thirds of its gains in four months, the report added citing calculations by LCH Investments. The losses are reportedly higher than some of the $4-trillion hedge fund industry's most recent losses.

",business
15,India looking at tapping new markets for edible oil: Sitharaman,"India is looking at tapping new markets for the import of edible oils, following the conflict between Ukraine and Russia, Union Finance Minister Nirmala Sitharaman said on Tuesday. ""There are various hurdles in terms of importing oils. You know we are not able to import edible oil; we were getting sunflower oil. Now, we are not,"" she said.

",business
16,"US inflation rises 8.3% in April, slight drop from March's 40-yr-high","Retail inflation in the US rose 8.3% in April from 12 months earlier, the country's Labor Department said on Wednesday. This is however below the 8.5% y-o-y rise in March, which was the highest rate in 40 years since 1981. On a month-to-month basis, prices rose 0.3% from March to April, the smallest increase in eight months.",business
17,State laws don't apply to RBI-registered NBFCs: Supreme Court,"State moneylending laws would have no application on non-banking finance companies (NBFCs) registered with and regulated by the Reserve Bank of India (RBI), the Supreme Court (SC) said on Tuesday. The court observed that the Chapter III­B of the RBI Act is a complete code in itself. Earlier,  the Kerala High Court had said the state moneylending laws were applicable.",business
18,Canara Bank detects frauds worth ₹3.9 cr in internal probe: Report,"State-led Canara Bank is investigating fraud in its housing finance unit Can Fin Homes after a whistleblower alleged irregularities in certain accounts, Reuters reported quoting a source. The bank has detected frauds in 37 accounts worth ₹3.9 crore, the source said. They added that fake income tax return documents had been submitted for these accounts.",business
19,Axis Bank awaits probe report on alleged mutual fund scam: Report,"Axis Bank will wait for the report on an investigation into alleged front-running at Axis Mutual Fund (MF) before taking the final decision on penalising guilty officials, Moneycontrol reported. The allegations are being probed by two external agencies appointed by Axis MF. The probe was launched in February 2022, Axis MF MD and CEO Chandresh Nigam said on May 8.",business
20,We need to revitalise world economy in inclusive ways: Raghuram Rajan,"Ex-RBI Governor Raghuram Rajan said that in order to raise investment and productivity, the need is to revitalise global growth in inclusive ways. In an article published in Financial Times, Rajan said, ""The easiest solution economically, and the hardest politically, is to reverse the trend to deglobalisation."" Developing countries' public spending has been constrained in the pandemic, he added.",business
21,Equity investors' wealth falls over ₹11.22 lakh crore in 3 days,"Equity investors have become poorer by over ₹11.22 lakh crore in three days following a sell-off in markets amid weak global cues. Sensex fell for the third consecutive session on Tuesday, falling 1,337.38 points or 2.4% since Friday. Foreign institutional investors remained net-sellers on Monday, offloading shares worth a net ₹3,361.80 crore.",business
22,Malaysia may cut palm oil export tax by half: Report,"The Commodities Ministry of the world's second-largest palm oil producer Malaysia has proposed to cut the export tax on the oil by half amid a global edible oil shortage. Malaysia's Plantation Industries and Commodities Minister Zuraida Kamaruddin told Reuters that the country could temporarily cut the tax from 8% to 4%-6%. Recently, top global producer Indonesia banned palm oil exports.",business
23,"CBI raids 8 places in Jammu, Srinagar, Mumbai in J&K Bank scam case","The CBI on Tuesday searched eight locations in Jammu, Srinagar and Mumbai in connection with alleged irregularities in purchase of a building by J&K Bank in Mumbai in 2010, officials said. They added that this included searching the premises of then J&K Bank Chairman Haseeb Drabu. In April, the ED questioned former J&K CM Omar Abdullah in the same case.",business
24,India's outward FDI drops nearly 50% y-o-y to $3.39 bn in April,"India's outward foreign direct investment (OFDI) nearly halved to $3.39 billion in April on an annual basis, data released by the Reserve Bank of India (RBI) showed. In comparison, the OFDI stood at $6.71 billion in April 2021 and $3.44 billion in March 2022. The equity component in April was $544.87 million and loans amounted to $764.25 million.",business
